Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.75268811923446E-07,3.15342188392907E-06,0.0252322469578344,0,0,0,1.24007528129701,0.00376433945420404,-3.96761124752336E-08,5.05068524940033E-09,0.00376446873858144,-3.43099373053588E-08,0.00666484522109885,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/base_link.STL,,la base1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-3.28412393702914E-06,0.00861147510681158,-0.139555400048675,0,0,0,3.45860242197991,0.0184381176782888,1.78263436961031E-07,-1.40563781717853E-07,0.0171628255856959,0.00209014529580622,0.00767768637498651,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link1.STL,,support2-1;support-complimaent2-1,Origin_Joint0,Axis_Joint0,Joint0,revolute,0,0,0.02,3.1416,0,0.49571,base_link,0,0,1,0,0,0,0,,,,,,,,
Link2,0.000378738732518688,0.225435761805327,0.140721813323699,0,0,0,5.06168582934501,0.0187725895349201,-0.000106252186519389,-9.13339724907783E-05,0.00769589015668832,-0.000733091576398154,0.0187023494764575,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link2.STL,,support3-1;la tige4-1;support5-1;support-complimaent2-3;support-complimaent2-2,Origin_Joint1,Axis_Joint1,Joint1,revolute,0,0.0168792056756725,-0.18,-1.5707963267949,0.0637202418141582,0,Link1,0,0,1,0,0,0,0,,,,,,,,
Link3,-0.00138149144172306,0.0804446375751445,0.0805827542300522,0,0,0,3.90230363675313,0.0083097560860992,2.88655921285431E-05,0.000127449728202796,0.00800546638038543,-0.000736090975820835,0.00669554434128464,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link3.STL,,support5-1;support5-2;support-complimaent2-4;support-complimaent2-3;cylinder-1-1,Origin_Joint2,Axis_Joint2,Joint2,fixed,0,0.383,0.137293636200294,1.5707963267949,-0.291587178716365,-3.14159265358979,Link2,0,0,0,0,0,0,0,,,,,,,,
Link4,-0.137221096221243,0.00198875993248682,0.00291070377072986,0,0,0,0.868321275404491,0.000659308470071036,1.26793061545643E-05,1.84472013860534E-05,0.00263968547488224,-1.49742381589091E-05,0.00261628409691957,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM_ASSEMBLY_RE1/meshes/Link4.STL,,cylinder-1-1;piston_1-1;support final-1,Origin_joint3,Axis_joint3,joint3,fixed,-0.0113141319065685,0.142676896558173,0.231953975590411,-2.54219881491639,1.50419337936484,0,Link3,0,0,0,,,,,,,,,,,,
